,Coaster_Name,Location,Status,Manufacturer,Year_Introduced,Latitude,Longitude,Opening_Date_Clean,Type_Main,Speed_Mph,Height_Ft,Inversions_Clean,Gforce_Clean,No
802,Iron Shark,Galveston Island Historic Pleasure Pier,Operating,Gerstlauer,2012,29.2858,-94.7895,6/1/2012,Steel,52,,4,,802
803,Leviathan (Canada's Wonderland),Canada's Wonderland,Operating,Bolliger & Mabillard,2012,43.8445,-79.5424,5/6/2012,Steel,92,306.1,0,4.5,803
804,Manta (SeaWorld San Diego),SeaWorld San Diego,Operating,Mack Rides,2012,32.7671,-117.228,5/26/2012,Steel,43,,0,3.5,804
805,OzIris,Parc Astérix,Operating,Bolliger & Mabillard,2012,49.1342,2.5663,4/7/2012,Steel,56,,5,,805
806,Polar X-plorer,Legoland Billund,Operating,Zierer,2012,55.737,9.1218,4/29/2012,Steel,40.4,65.6,0,,806
807,Shambhala (roller coaster),PortAventura Park,Operating,Bolliger & Mabillard,2012,41.0847,1.1564,5/12/2012,Other,83.3,249.3,0,3.8,807
808,Skyrush,Hersheypark,Operating,Intamin,2012,,,5/26/2012,Steel,75,,0,5,808
809,Stinger (roller coaster),Other,In Production,Vekoma,2012,,,,Other,50,,3,,809
810,Superman: Ultimate Flight (Six Flags Discovery Kingdom),Six Flags Discovery Kingdom,Operating,Premier Rides,2012,38.1386,-122.231,6/30/2012,Steel,62,,1,,810
811,The Swarm (roller coaster),Thorpe Park,Operating,Bolliger & Mabillard,2012,51.4056,-0.5154,3/15/2012,Steel,59,126.6,5,4.5,811
812,Triops (roller coaster),Other,In Production,Vekoma,2012,,,,Other,50,,3,,812
813,Verbolten,Busch Gardens Williamsburg,Operating,Zierer,2012,37.2315,-76.6449,5/18/2012,Steel,53,,0,,813
814,Wild Eagle,Dollywood,Operating,Bolliger & Mabillard,2012,35.7947,-83.5301,3/24/2012,Steel,61,,4,,814
815,Wild West Express Coaster,Other,,Zierer,2012,,,,Steel,16,,0,,815
816,Wodan Timbur Coaster,Europa-Park,Operating,Great Coasters International,2012,48.2614,7.7192,3/31/2012,Wood,62.1,,0,3.5,816
817,X-Flight (Six Flags Great America),Six Flags Great America,Operating,Bolliger & Mabillard,2012,42.3654,-87.9338,5/16/2012,Steel,55,,5,,817
818,Abyss (roller coaster),Adventure World,Operating,Gerstlauer,2013,-32.0955,115.817,11/1/2013,Steel,52.8,98.4,3,4.5,818
819,Boomerang (Six Flags St. Louis),Other,,Vekoma,2013,,,,Steel,47,,3,5.2,819
820,Coast Rider,Knott's Berry Farm,Operating,Mack Rides,2013,33.845,-118.0019,5/25/2013,Steel,,,0,,820
821,Crazy Bird,Happy Valley Tianjin,Operating,S&S – Sansei Technologies,2013,39.1847,117.4686,12/22/2013,Steel,,,2,,821
822,Deep Space (roller coaster),Adlabs Imagica,Operating,Premier Rides,2013,18.7647,-73.2805,1/1/2013,Steel,42.5,,2,,822
823,Flying Turns (Knoebels),Knoebels Amusement Resort,Operating,Knoebels Amusement Resort,2013,40.8784,-76.5051,10/5/2013,Wood,24,,0,,823
824,Freedom Flyer,Fun Spot America,Operating,Vekoma,2013,28.4662,-81.4561,6/8/2013,Steel,34.2,,0,2.5,824
825,Full Throttle (roller coaster),Six Flags Magic Mountain,Operating,Premier Rides,2013,34.4232,-118.5972,6/22/2013,Steel,70,,2,4,825
826,GateKeeper (roller coaster),Cedar Point,Operating,Bolliger & Mabillard,2013,41.4806,-82.679,5/11/2013,Steel,67,,6,4,826
827,Gold Striker,California's Great America,Operating,Great Coasters International,2013,37.3967,-121.9749,5/31/2013,Wood,53.7,,0,4.2,827
828,Iron Rattler,Six Flags Fiesta Texas,Operating,Rocky Mountain Construction,2013,,,5/25/2013,Steel,70,,1,,828
829,The Joker (Six Flags México),Other,,Gerstlauer,2013,19.2951,-99.2082,,Steel,31,,0,,829
830,Karacho,Erlebnispark Tripsdrill,Operating,Gerstlauer,2013,49.0377,9.0544,7/10/2013,Steel,55.9,98.4,4,,830
831,Nitro (Imagicaa),Imagicaa,Operating,Bolliger & Mabillard,2013,18.7664,73.28,10/1/2013,Steel,65.2,,5,,831
832,Orkanen,F?rup Sommarland,Operating,Vekoma,2013,57.27,9.6453,6/5/2013,Steel,46.6,,0,3,832
833,Outlaw Run,Silver Dollar City,Operating,Rocky Mountain Construction,2013,36.6681,-93.34,3/15/2013,Wood,68,,3,,833
834,Ring Racer,Nürburgring,Closed,S&S - Sansei Technologies,2013,50.3361,6.9492,10/31/2013,Steel,99.4,123,0,5.6,834
835,The Smiler,Alton Towers,Operating,Gerstlauer,2013,52.9872,-1.8953,5/31/2013,Steel,52.8,,14,4.8,835
836,Smoky Mountain Alpine Coaster,Other,Operating,Wiegand,2013,35.7934,-83.5965,8/3/2013,Steel,27,,0,,836
837,Storm Coaster,Sea World (Australia),Operating,Mack Rides,2013,-27.9563,153.4258,12/6/2013,Steel,43.5,91.9,0,3,837
838,White Lightning (roller coaster),Fun Spot America,Operating,Great Coasters International,2013,28.4662,-81.4564,6/7/2013,Wood,44.3,,0,,838
839,Wild Kitty,Other,,Allan Herschell Company,2013,,,,Steel,,,0,,839
840,Woodstock Express (Kings Dominion),Kings Dominion,Operating,Philadelphia Toboggan Coasters,2013,37.8405,-77.4422,1/1/1974,Wood,35,,0,,840
841,Alpina Blitz,Nigloland,Operating,Mack Rides,2014,48.2617,4.6149,4/12/2014,Steel,51.6,108.3,0,4.3,841
842,Arthur – The Ride,Europa-Park,Operating,Mack Rides,2014,48.2639,7.7237,6/1/2014,Steel,19.3,44.3,0,,842
843,Banshee (roller coaster),Kings Island,Operating,Bolliger & Mabillard,2014,39.3457,-84.2655,4/18/2014,Steel,68,,7,,843
844,The Bat (Kings Island; opened 1993),Kings Island,Operating,Arrow Dynamics,2014,39.3476,-84.2652,4/9/1993,Steel,51,,0,2.9,844
845,Dragon Wagon (Indiana Beach),Indiana Beach,Removed,Wisdom Rides,2014,40.79,-86.7713,8/1/2014,Steel,,,0,,845
846,Family Inverted Coaster (Happy Valley Shanghai),Happy Valley Shanghai,Operating,Bolliger & Mabillard,2014,31.0973,121.2087,7/5/2014,Steel,30.4,,0,,846
847,FireChaser Express,Dollywood,Operating,Gerstlauer,2014,35.7947,-83.5301,3/22/2014,Steel,34.5,,0,,847
848,Flug der D?monen,Heide Park Resort,Operating,Bolliger & Mabillard,2014,53.0262,9.8796,3/29/2014,Steel,62.1,131.2,5,4,848
849,Goliath (Six Flags Great America),Six Flags Great America,Operating,Rocky Mountain Construction,2014,42.3661,-87.9311,6/19/2014,Other,72,,2,,849
850,Harry Potter and the Escape from Gringotts,Universal Studios Florida,Operating,Intamin,2014,28.4803,-81.47,7/8/2014,Steel,,,0,,850
851,Helix (roller coaster),Liseberg,Operating,Mack Rides,2014,57.6953,11.9908,4/26/2014,Steel,62.1,134.5,7,4.3,851
852,Lightning Run,Kentucky Kingdom,Operating,Chance Rides,2014,38.1965,-85.744,5/24/2014,Other,55,,0,,852
853,El Loco (Adventuredome),Adventuredome,Operating,S&S – Sansei Technologies,2014,36.1375,-115.1666,2/18/2014,Steel,45,,2,,853
854,Medusa Steel Coaster,Six Flags México,Operating,Rocky Mountain Construction,2014,19.2945,-99.2112,6/14/2014,Steel,58,,3,,854
855,Parrot Coaster,Chime-Long Ocean Kingdom,Operating,Bolliger & Mabillard,2014,22.1016,113.529,1/25/2014,Steel,67,,3,,855
856,Roar-o-Saurus,Story Land,Operating,The Gravity Group,2014,44.1161,-71.1828,5/24/2014,Wood,33,,0,,856
857,Seven Dwarfs Mine Train,Other,,Vekoma,2014,,,,Steel,34,,0,,857
858,Thunderbird (Holiday World),Holiday World & Splashin' Safari,Operating,Bolliger & Mabillard,2014,38.1242,-86.909,4/25/2015,Steel,60,,4,,858
